,2017,2018,2019,2020,2021,2022,2023,2024
ANG MO KIO,75.14,72.64,70.49,72.90,82.45,93.11,100.14,108.08
BEDOK,71.85,71.56,70.05,71.47,79.21,88.52,95.26,102.82
BISHAN,84.34,84.03,83.77,83.90,90.86,102.23,110.49,121.48
BUKIT BATOK,58.59,56.77,56.21,59.02,68.71,77.19,78.56,81.38
BUKIT MERAH,90.17,89.27,89.66,92.51,98.56,106.70,113.24,120.03
BUKIT PANJANG,51.82,51.84,51.69,53.00,61.03,67.42,73.40,79.28
BUKIT TIMAH,98.40,100.98,102.01,103.37,107.74,120.77,130.13,140.16
CENTRAL AREA,103.69,104.44,106.30,106.33,115.47,124.19,135.32,143.75
CHOA CHU KANG,45.77,45.16,45.56,48.01,56.04,62.65,66.97,71.44
CLEMENTI,81.06,79.03,77.74,82.37,89.91,96.59,103.68,109.49
GEYLANG,80.63,80.61,79.89,79.45,88.55,99.90,105.95,115.32
HOUGANG,58.22,58.31,58.33,60.66,67.49,76.66,81.67,87.87
JURONG EAST,62.14,61.71,60.43,61.82,69.40,77.55,82.89,88.18
JURONG WEST,52.44,50.79,50.76,53.37,61.34,68.24,73.06,77.09
KALLANG/WHAMPOA,82.82,83.21,85.84,85.16,92.63,101.50,108.45,117.38
MARINE PARADE,108.34,110.33,104.17,105.51,115.73,123.78,131.51,138.59
PASIR RIS,52.55,54.16,55.24,57.42,64.66,71.66,77.98,84.04
PUNGGOL,50.50,51.35,53.73,55.10,58.90,66.18,71.82,77.75
QUEENSTOWN,95.45,93.95,93.34,97.07,102.28,109.72,117.80,124.04
SEMBAWANG,44.47,43.63,44.57,46.80,54.98,63.52,67.44,72.52
SENGKANG,49.82,49.60,51.72,52.45,58.10,65.45,71.54,77.58
SERANGOON,69.85,69.73,71.22,72.85,80.77,91.16,98.23,107.53
TAMPINES,62.70,63.96,63.73,65.09,71.07,80.35,86.16,92.33
TOA PAYOH,82.79,81.57,79.69,80.67,90.19,102.50,109.82,118.88
WOODLANDS,46.96,45.94,46.28,48.76,57.34,65.03,69.64,75.54
YISHUN,55.09,53.65,52.80,53.90,63.57,71.37,76.13,82.90
